state,ger,students,universities,faculty,population_18_23,year,students_per_uni,faculty_per_student,enrollment_rate_proxy,universities_per_lakh_population,faculty_per_lakh_population
Haryana,31.08865998066699,1029159.0,56.0,485.0,3310400.0,2020,18377.839285714286,0.00047125857131891184,31.08865998066699,1.6916384726921219,14.650797486708557
Himachal Pradesh,38.72492645092271,289585.0,29.0,64.0,747800.0,2020,9985.689655172413,0.00022100592226807327,38.72492645092271,3.878042257288045,8.55843808504948
Jammu and Kashmir,25.022208281053953,398854.0,15.0,84.0,1594000.0,2020,26590.266666666666,0.00021060337867991798,25.022208281053953,0.9410288582183187,5.269761606022584
Jharkhand,17.01827975598148,786687.0,32.0,103.0,4622600.0,2020,24583.96875,0.00013092881921272374,17.01827975598148,0.6922511140916368,2.228183273482456
Karnataka,35.96070081339149,2440437.0,72.0,1884.0,6786400.0,2020,33894.958333333336,0.0007719928848808636,35.96070081339149,1.0609454202522692,27.76140516326771
Kerala,43.15420619860848,1364536.0,23.0,95.0,3162000.0,2020,59327.65217391304,6.96207355467353e-05,43.15420619860848,0.7273877292852625,3.004427577482606
Ladakh,8.382388194869883,3147.0,2.0,0.0,37543.0,2020,1573.5,0.0,8.382388194869883,5.327224782249687,0.0
Madhya Pradesh,27.077369539846615,2598561.0,74.0,532.0,9596800.0,2020,35115.68918918919,0.0002047286940733737,27.077369539846615,0.7710903634544849,5.5435145048349455
Maharashtra,34.92685269126166,4546149.0,71.0,3430.0,13016200.0,2020,64030.2676056338,0.0007544847298229777,34.92685269126166,0.5454741015042793,26.351777016333493
Manipur,37.75337193200527,138499.0,9.0,67.0,366852.0,2020,15388.777777777777,0.0004837580054729637,37.75337193200527,2.4533054201694418,18.26349590570584
Meghalaya,25.761351636747627,97584.0,11.0,10.0,378800.0,2020,8871.272727272728,0.00010247581570749303,25.761351636747627,2.903907074973601,2.6399155227032733
Mizoram,26.821967544795665,38710.0,3.0,24.0,144322.0,2020,12903.333333333334,0.0006199948333763885,26.821967544795665,2.078685162345311,16.62948129876249
Nagaland,17.261421161177427,46954.0,5.0,5.0,272017.0,2020,9390.8,0.00010648720023853133,17.261421161177427,1.8381204115919223,1.8381204115919223
Odisha,20.740247971330888,1007022.0,36.0,275.0,4855400.0,2020,27972.833333333332,0.0002730824152799045,20.740247971330888,0.7414425176092598,5.6637970095151795
Puducherry,60.75230518291668,91253.0,4.0,1.0,150205.0,2020,22813.25,1.0958543828696042e-05,60.75230518291668,2.663027196165241,0.6657567990413102
Punjab,26.2682826881856,833335.0,34.0,451.0,3172400.0,2020,24509.852941176472,0.0005411989176021648,26.2682826881856,1.0717437901903921,14.21636615811373
Rajasthan,26.06486243250193,2432790.0,92.0,272.0,9333600.0,2020,26443.369565217392,0.0001118057867715668,26.06486243250193,0.9856861232536213,2.9142024513585323
Sikkim,39.9164342206458,34774.0,8.0,5.0,87117.0,2020,4346.75,0.00014378558693276585,39.9164342206458,9.183052676285914,5.739407922678696
Telangana,39.12360165067369,1573786.0,31.0,114.0,4022600.0,2020,50767.290322580644,7.243678619583602e-05,39.12360165067369,0.7706458509421767,2.833987967980908
Tripura,19.173070795105136,92660.0,5.0,64.0,483282.0,2020,18532.0,0.0006906971724584503,19.173070795105136,1.0345926394941256,13.24278578552481
Uttar Pradesh,23.237928697207703,6651067.0,84.0,611.0,28621600.0,2020,79179.36904761905,9.186495941177558e-05,23.237928697207703,0.2934846409704559,2.1347513765827206
West Bengal,21.266831768703565,2215536.0,52.0,893.0,10417800.0,2020,42606.46153846154,0.00040306273515754203,21.266831768703565,0.49914569294860717,8.571867380828966
Andhra Pradesh,36.5,1929159.0,47.0,106538.0,5285000.0,2021,41045.936170212764,0.05522510067858585,36.50253547776727,0.8893093661305582,2015.8561967833493
Arunachal Pradesh,36.5,64890.0,10.0,2293.0,177680.0,2021,6489.0,0.03533672368623825,36.520711391265195,5.628095452498874,1290.5222872579918
Assam,16.9,678012.0,30.0,23336.0,4019000.0,2021,22600.4,0.03441826988312891,16.870166708136352,0.7464543418760885,580.6419507340134
Bihar,17.1,2622946.0,37.0,38152.0,15374000.0,2021,70890.43243243243,0.014545476727313487,17.060921035514507,0.24066605958111095,248.15922986860934
Chandigarh,64.8,111003.0,3.0,3734.0,171229.3618969863,2021,37001.0,0.033638730484761674,64.8270826745128,1.7520359632040428,2180.7007622012984
Chhattisgarh,19.6,656341.0,34.0,23595.0,3352000.0,2021,19304.147058823528,0.03594930074458247,19.580578758949883,1.0143198090692123,703.9081145584726
Delhi,49.0,1145390.0,30.0,22929.0,2339000.0,2021,38179.666666666664,0.02001850897947424,48.969217614365114,1.2825994014536126,980.2907225309962
Goa,35.8,65415.0,3.0,3903.0,182730.28834875306,2021,21805.0,0.05966521440036689,35.798662931648785,1.6417639500870802,2135.934899063291
Gujarat,24.0,1797662.0,91.0,61803.0,7477000.0,2021,19754.527472527472,0.034379655352340985,24.042557175337702,1.2170656680486827,826.574829477063
Haryana,33.3,1104532.0,56.0,41098.0,3312000.0,2021,19723.785714285714,0.03720851908319542,33.3493961352657,1.6908212560386473,1240.8816425120774
Himachal Pradesh,43.1,319651.0,30.0,10895.0,742000.0,2021,10655.033333333333,0.03408404791475703,43.07964959568733,4.0431266846361185,1468.3288409703505
Jammu and Kashmir,24.8,400423.0,16.0,11363.0,1615000.0,2021,25026.4375,0.028377490803475326,24.793993808049535,0.9907120743034056,703.5913312693498
Jharkhand,18.6,879965.0,33.0,15089.0,4724000.0,2021,26665.60606060606,0.01714727290289955,18.627540220152415,0.6985605419136325,319.41151566469097
Karnataka,36.2,2436540.0,75.0,150885.0,6728000.0,2021,32487.2,0.06192592775000615,36.214922711058264,1.11474435196195,2242.642687277051
Kerala,41.3,1304445.0,25.0,62855.0,3155000.0,2021,52177.8,0.048185243532690145,41.345324881141046,0.7923930269413629,1992.2345483359745
Ladakh,11.5,4440.0,2.0,274.0,38496.743588488294,2021,2220.0,0.06171171171171171,11.533443055499625,5.195244619594425,711.7485128844363
Madhya Pradesh,28.9,2800165.0,77.0,82461.0,9690000.0,2021,36365.77922077922,0.029448621777645245,28.897471620227037,0.7946336429308565,850.9907120743035
Maharashtra,35.3,4577843.0,74.0,167692.0,12965000.0,2021,61862.74324324324,0.036631225666760525,35.30924026224451,0.5707674508291555,1293.4207481681449
Manipur,35.4,130388.0,10.0,6270.0,368320.9,2021,13038.8,0.048087247292695645,35.40065198580911,2.7150237741056777,1702.31990636426
